순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,판매지수,출간일
1,9791188808380,62086797,예비 매3비 매일 지문 3개씩 푸는 비문학 독서 기출,"14,000원","12,600","
700원 ",안인숙,키출판사,246345,2018년 07월 12일
4,9791188808397,62086663,예비 매3문 매일 지문 3개씩 푸는 문학 기출,"14,000원","12,600","
700원 ",안인숙,키출판사,182130,2018년 07월 11일
5,9788928323982,38972963,신사고 SSEN 쎈 중등 수학 1 (상) 문제기본서 (2019년용),"14,000원","12,600","
700원 ",홍범준,좋은책신사고,225840,2017년 04월 19일
6,9788928326341,60655757,신사고 SSEN 쎈 중등 수학 2 (상) 문제기본서 (2019년),"15,000원","13,500","
750원 ",홍범준,좋은책신사고,171936,2018년 05월 04일
7,9788928324002,38972983,신사고 SSEN 쎈 중등 수학 3 (상) 문제기본서 (2019년용),"14,000원","12,600","
700원 ",홍범준,좋은책신사고,194208,2017년 04월 19일
9,9791162720974,66317928,중학영문법 3800제 1학년 (2019년),"13,800원","12,420","
690원 ",마더텅 편집부,마더텅,98916,2018년 10월 22일
11,9788959904228,51203255,숨마 주니어 중학 국어 비문학 독해 연습 1,"12,000원","10,800","
600원 ",김영신,이룸E&B(이룸이앤비),131001,2017년 10월 02일
14,9788961333771,42781019,개념원리 중학수학 1-1 (2019년용),"14,000원","12,600","
700원 ",이홍섭,개념원리,136578,2017년 06월 20일
15,9791162720981,66317933,중학영문법 3800제 2학년 (2019년),"14,800원","13,320","
740원 ",마더텅 편집부,마더텅,72717,2018년 10월 22일
16,9791162720998,66317948,중학영문법 3800제 3학년 (2019년),"14,800원","13,320","
740원 ",마더텅 편집부,마더텅,63726,2018년 10월 22일
19,9788954747288,67212038,EBS 중학 뉴런 과학2 (2019년),"15,000원","13,500","
150원 ",EBS,한국교육방송공사,53895,2018년 12월 14일
20,9788961333788,43755950,개념원리 문제기본서 RPM 중 1-1 (2019년용),"14,000원","12,600","
700원 ",이홍섭,개념원리,90420,2017년 07월 09일
